"Sample","Time","ColonyFormingUnitsPerDroplet","Likelihood","LowerCI","UpperCI","GridSize","ExcludedWellPositions","ExcludedGridPositions","TotalExclusions"
"SPCC794.08",4,0,1,0,0.320115312805095,4,"","",0
"SPAC4F10.20",4,224.706954648997,0.00186066750261191,97.444499122618,468.55449246888,4,"","",0
"SPBC119.06",4,0,1,0,0.320115312805095,4,"","",0
"SPBC18E5.07",4,785.289628755556,0.00633245382487873,327.500592662605,1720.69667104052,4,"","",0
"SPBC405.04c",4,1.99683904126625,0.0551759301390218,0.742462835148029,4.5546358823015,4,"","",0
"SPBC776.15c",4,0,1,0,0.320115312805095,4,"","",0
"SPAC22F3.10c",4,0,1,0,0.320115312805095,4,"","",0
"SPBC1711.13",4,0,1,0,0.320115312805095,4,"","",0
"SPBC29A3.01",4,0,1,0,0.320115312805095,4,"","",0
"SPCC162.12",4,216.194395064994,0.0426002743200338,87.9991282156182,488.171091396972,4,"","",0
"SPAC26F1.10c",4,269.859476791976,0.0669801141333445,111.677904650169,596.921987930996,4,"","",0
"SPCC1753.02c",4,296.164858018584,0.019437867247182,119.213040963847,682.798802890281,4,"","",0
"SPAC227.04",4,0,1,0,0.320115312805095,4,"","",0
"SPBC17G9.10",4,1688.96149216773,0.00136596715159212,714.587350765833,3629.25016013436,4,"","",0
"SPAC1556.02c",4,1.56746563646628,0.0107249510406497,0.604098161284614,3.3443385462308,4,"","",0
"SPCC4G3.04c",4,0,1,0,0.320115312805095,4,"","",0
"972 h-",4,22.7997891416186,0.000202473666323465,10.1621778103918,46.0567237598142,4,"","",0
"SPBC1683.01",4,4.31642341355741,0.00361413919433154,1.92150113506666,8.72660215071628,4,"","",0
"SPAC3A11.11c",4,52.006799220052,0.0384199412061226,21.4877455493219,115.426842869429,4,"","",0
"SPACUNK4.15",4,3.01308406913143,0.0266313821028591,1.25393364274577,6.44216486408216,4,"","",0
"SPBC16E9.19",4,4647.58935066474,0.000475672464511436,2156.33885014448,8984.54653191923,4,"","",0
"SPBC9B6.03",4,15.0057946669178,0.0377311566729102,6.46475298553686,31.5788000175914,4,"","",0
"SPCC1494.08c",4,1408.21222320047,0.0390118190999547,581.397428222641,3127.79560224458,4,"","",0
"SPCC18.17c",4,0,1,0,0.320115312805095,4,"","",0
"SPCC1827.04",4,1139.64908018248,0.0457569891002825,462.416060487325,2599.27999936081,4,"","",0
"SPAC12B10.14c",4,0.377469134373504,0.102168520969493,0.0625917296114753,1.17357378250323,4,"","",0
"SPAC1952.09c",4,0.18232193329838,0.26791893283428,0.0103896074620061,0.806561868501326,4,"","",0
"SPAC1F3.10c",4,0,1,0,0.320115312805095,4,"","",0
"SPAC26H5.07c",4,0.635287917317113,0.0985932460194819,0.156600134194172,1.67862762151407,4,"","",0
"SPAC57A7.05",4,6.93113067104596,0.000451123811994135,3.14810835351446,13.7191898914204,4,"","",0
"SPAC5D6.06c",4,0,1,0,0.320115312805095,4,"","",0
"SPBC21H7.04",4,0,1,0,0.320115312805095,4,"","",0
"SPCC162.04c",4,4.30483020511873,0.00118340674337771,1.91722348781999,8.69958237833722,4,"","",0
"SPAC10F6.05c",4,6.06106970687802,0.0546474354588385,2.46880355492856,13.6900132852434,4,"","",0
"SPAC144.08",4,629.681874532278,0.00633375074785298,279.469379562375,1277.25009684666,4,"","",0
"SPAC16A10.05c",4,326.759613189425,0.0389998619922469,138.47936579401,702.429351147965,4,"","",0
"SPBC16E9.11c",4,199.614373212971,0.00927765447319148,89.5346607531363,400.157645603415,4,"","",0
"SPBC215.04",4,216.194395064994,0.0426002743200338,87.9991282156182,488.171091396972,4,"","",0
"SPBC725.02",4,44.7466096728389,0.0121429080703024,19.3042074042035,94.0352987969935,4,"9","",1
"SPBC839.11c",4,228.79756917232,0.00621398102830096,98.8270425436814,479.045786367488,4,"","",0
"SPBP8B7.25",4,1953.12745307326,0.0434419007523838,794.198383127702,4415.04233470628,4,"","",0
"SPAC17H9.11",6,64.7694504741539,0.0104037246047392,25.6778910600275,141.827996091819,3,"12, 11","1",3
"SPAC23E2.01",6,0,1,0,0.320120200579237,4,"11, 12","",2
"SPAC8E11.07c",6,4.15085174504646,0.0512568338870308,1.73785598409403,8.99788376098196,4,"","",0
"SPAC227.17c",6,0,1,0,0.320115312805095,4,"","",0
"SPBC23G7.13c",6,0,1,0,0.320115312805095,4,"","",0
"SPBC23G7.06c",6,0,1,0,0.320115312805095,4,"","",0
"SPBC691.04",6,0,1,0,0.320115312805095,4,"","",0
"SPCC794.08",6,0,1,0,0.320115312805095,4,"","",0
